Projection,Level,Account Type,Account,Account Description,2025 Department Budget,2026 Department Budget,2027 Department Budget,2028 Department Budget,2029 Department Budget,2030 Department Budget,2031 Department Budget,2032 Department Budget,2033 Department Budget,2034 Department Budget,2024 Projected Actuals,2024 Original Budget,2024 Revised Budget,2024 Actuals,2023 Original Budget,2023 Revised Budget,2023 Actuals,2022 Revised Budget,2022 Actuals
20251,Department,R,1110-0000-00-00000-401100-0000-000000-00000-0000-,REAL PROPERTY                 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-12,750,000.00","-12,750,000.00","-6,377,927.08","-12,578,000.00","-12,578,000.00","-12,996,898.29","-12,650,000.00","-12,695,232.75"
20251,Department,R,1110-0000-00-00000-401130-0000-000000-00000-0000-,LAND REDEMPTIONS              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-10,000.00","-10,000.00",0.00,"-10,000.00",-0.52
20251,Department,R,1110-0000-00-00000-401199-0000-000000-00000-0000-,REAL PROPERTY DELINQUENT      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-550,000.00","-550,000.00","-248,323.69","-550,000.00","-550,000.00","-353,535.89","-520,000.00","-404,986.86"
20251,Department,R,1110-0000-00-00000-401210-0000-000000-00000-0000-,PUBLIC SERVICE                ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-350,000.00","-350,000.00","-300,956.10","-365,000.00","-365,000.00","-342,579.10","-360,000.00","-369,027.53"
20251,Department,R,1110-0000-00-00000-401300-0000-000000-00000-0000-,PERSONAL PROPERTY             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-4,600,000.00","-4,600,000.00","-4,653,556.94","-4,300,000.00","-4,300,000.00","-5,631,938.64","-3,250,000.00","-3,895,429.29"
20251,Department,R,1110-0000-00-00000-401399-0000-000000-00000-0000-,PERSONAL PROPERTY DELINQUEN   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-550,000.00","-550,000.00","-168,198.09","-550,000.00","-550,000.00","-262,076.42","-500,000.00","-560,490.82"
20251,Department,R,1110-0000-00-00000-401400-0000-000000-00000-0000-,MOBILE HOME                   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-6,000.00","-6,000.00",9.44,"-6,000.00","-6,462.01"
20251,Department,R,1110-0000-00-00000-401499-0000-000000-00000-0000-,MOBILE HOME DELINQUENT        ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-750.00,-750.00,64.38,-750.00,"-1,379.81"
20251,Department,R,1110-0000-00-00000-401500-0000-000000-00000-0000-,MACHINERY & TOOLS             ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-125,000.00","-125,000.00","-130,023.57","-127,000.00","-127,000.00",-0.22,"-120,000.00","-140,285.82"
20251,Department,R,1110-0000-00-00000-401599-0000-000000-00000-0000-,MACHINERY & TOOLS DELINQUEN   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.23,"-5,000.00","-5,000.00",0.00,"-5,000.00","-2,349.41"
20251,Department,R,1110-0000-00-00000-401600-0000-000000-00000-0000-,MERCHANT CAPITAL              ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-225,000.00","-225,000.00","-247,449.52","-180,000.00","-180,000.00",-86.77,"-225,000.00","-176,146.74"
20251,Department,R,1110-0000-00-00000-401699-0000-000000-00000-0000-,MERCHANT CAPITAL DELINQUENT   ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-738.69,"-7,500.00","-7,500.00",490.37,"-7,500.00","-1,979.09"
20251,Department,R,1110-0000-00-00000-401800-0000-000000-00000-0000-,LATE FILING PENALTY           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-15,000.00","-15,000.00","-24,427.83","-13,000.00","-13,000.00","-9,447.09","-13,000.00","-25,124.37"
20251,Department,R,1110-0000-00-00000-401902-0000-000000-00000-0000-,INTEREST DELINQUENT TAXES     ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-82,000.00","-82,000.00","-65,437.33","-105,000.00","-105,000.00","-111,348.11","-100,000.00","-80,150.68"
